lad,agemed_all,care_1to19hoursWeek,care_20to49hoursWeek,care_40PlushoursWeek,children_Kids,children_NoKids,children_NonDepKids,density_all,economic_employee,economic_self-employed,economic_student,economic_unemployed,ethnicity_asian,ethnicity_black,ethnicity_white,health_bad,health_good,hoursworked_Female1-15,hoursworked_Female49plus,hoursworked_Male1-15,hoursworked_Male49plus,household_Cohabiting,household_LoneParent,household_Married,household_OnePerson,marital_Married,marital_Seperated,marital_Single,population_all,religion_Buddhist,religion_Christian,religion_Hindu,religion_Jewish,religion_Muslim,religion_Noreligion,tenure_owned,tenure_rented_private,tenure_rented_social,travel_bus,travel_car_van,travel_foot,travel_home,travel_train_metro,welsh_SpeaksWelsh
E06000024,2,0,0.3,0.4,-0.8,0.9,-0.1,0.4,-0.1,1,0.4,0.9,0.6,0.2,-1.3,-3.4,12.1,-0.2,-0.1,1,-3.5,1.5,1.5,-4.2,1.6,-4,1.7,3.5,7.4,0.1,-14,0.1,0,0.2,13.5,-5.9,7,-0.1,-1.1,7.5,-1.2,-6.7,2.1,1
E06000025,3,0.1,0.3,0.4,-0.4,0.4,0,0.3,-1.7,0.9,0.9,1,1.4,0.5,-2.7,-2.8,11.6,0.1,-0.2,0.9,-3.4,1.1,1.9,-6,1.9,-5.7,1.4,4.8,7,0.1,-14.4,0.4,0,0.5,13.2,-6.7,7.3,0.1,0.6,1.8,0.5,-3.8,0.4,1
E06000026,1,-0.2,0.3,0.5,-1.5,0.8,0.7,2,-1.2,1.2,1.1,1,0.9,0.5,-2.2,-3.6,12.8,0.1,0.1,1.3,-2.5,3,0.4,-3.6,-0.7,-5.3,0.2,7,6.5,0.1,-15.5,0.1,0,0.4,14.6,-4.5,7.3,-1.8,-0.4,0.5,2.7,-3.1,0,1
E06000027,2,0.3,0.5,0.8,-0.7,0.1,0.6,0.2,0.9,0.7,0.5,0.4,0.6,0.1,-1.3,-3.7,12.5,0,-0.5,1.1,-3.2,1.3,1.1,-2.1,0.5,-3.2,1.4,3.8,1,0.2,-12.9,0.1,0,0.1,12.6,-6.4,6.8,-0.1,-0.1,4.4,0,-5,0.7,1
E06000030,2,-0.2,0.4,0.3,0,0.1,-0.1,1.3,-2.2,1.7,0.4,1.8,3.8,0.7,-5.4,-3.1,12.7,0.1,-0.1,0.9,-2.3,1.7,1,-4,1.5,-4.1,1.4,3.8,16.2,0.3,-12.6,0.7,0,0.7,11.8,-7.7,8.6,-0.7,1.4,0.1,1.2,-2.2,0,1
E06000031,0,-0.5,0.4,0.3,1.9,-2,0.2,0.8,-0.4,1.2,0.5,1.7,4.4,1,-7.2,-3.3,13,-0.2,-0.1,1.1,-3.5,1.8,0.9,-3.6,-1.4,-5,1.2,5.1,17.7,0.1,-11.6,0.4,0,3.7,9,-6.8,9.4,-2.1,1.1,-2.9,2.4,-2.2,1.8,1
E06000032,-1,-0.5,0.3,0.4,1.9,-2,0.1,4.3,-3.5,1.7,1.8,1.9,11.1,3.5,-17.2,-3.1,13,0.3,0,1.7,-4.1,-0.2,1.7,-2.8,-1.4,-2.8,0.2,3.6,10.2,0.1,-12.3,0.6,-0.1,10,2.5,-10.3,10.9,-0.6,0.2,-2.6,2.1,-4.2,4.6,1
E06000033,1,-0.5,0.3,0.4,0.9,-1.8,1,3.2,0.7,1.3,0.7,1.3,1.5,1.4,-4.2,-3.6,13.3,0.2,0.1,1.2,-3.2,2.5,0.7,-1.4,-2.6,-4.1,1.1,5.4,8.4,0.2,-12.9,0.1,-0.5,0.7,12.8,-7.3,7.7,-0.2,-2.5,-6.6,1.4,-4.3,11.9,1
E06000034,1,-0.7,0.3,0.4,2.5,-2.6,0.1,0.9,-1.6,1.8,0.7,2,1.4,6.7,-9.4,-3,12.9,-0.3,0,1,-3.7,1.4,1,-2.9,-1.1,-4.3,1.2,4.6,10.2,0.2,-11.8,0.2,0,0.9,10.5,-5.6,7.6,-1.9,-0.8,-5.8,-1.4,-5.5,14,1
E06000035,2,-0.1,0.4,0.6,-1.4,0.6,0.9,0.8,-2.8,1.1,1.1,1.4,1.8,1.8,-5,-2.5,12.2,0.2,0,1.3,-3.7,1.3,1.9,-5.2,0.7,-6,1,5.8,5.8,0.1,-14.1,0.4,0,0.9,13.2,-7.3,7.8,-0.1,0.4,2.6,-2.7,-6.5,6.6,1
