lad,agemed_all,care_1to19hoursWeek,care_20to49hoursWeek,care_40PlushoursWeek,children_Kids,children_NoKids,children_NonDepKids,density_all,economic_employee,economic_self-employed,economic_student,economic_unemployed,ethnicity_asian,ethnicity_black,ethnicity_white,health_bad,health_good,hoursworked_Female1-15,hoursworked_Female49plus,hoursworked_Male1-15,hoursworked_Male49plus,household_Cohabiting,household_LoneParent,household_Married,household_OnePerson,marital_Married,marital_Seperated,marital_Single,population_all,religion_Buddhist,religion_Christian,religion_Hindu,religion_Jewish,religion_Muslim,religion_Noreligion,tenure_owned,tenure_rented_private,tenure_rented_social,travel_bus,travel_car_van,travel_foot,travel_home,travel_train_metro,welsh_SpeaksWelsh
E07000066,37,6.29,1.03,2.15,30.73,58.83,10.44,15.06,55.17,8.21,1.87,3.1,1.35,0.67,96.89,8.34,69.51,7.07,2.65,1.51,14.49,8.98,10.33,38.83,28.59,53.01,11.28,27.65,165668,0.19,73.34,0.45,0.23,0.57,17.42,69.87,4.8,23.12,4.55,72.64,7.97,7.11,3.43,1
E07000067,38,6.9,0.82,1.66,30.84,59.62,9.54,2.16,57.28,10.54,2.02,2.31,0.66,0.29,98.2,7.02,71.61,7.27,3.03,1.61,16.12,9.48,7.85,43.01,26.58,56.2,10.75,25.27,132179,0.15,74.23,0.19,0.15,0.31,16.99,72.11,6.67,19.02,2.56,65.97,12.14,13.26,1.48,1
E07000068,41,7.75,0.81,1.53,28.2,61.93,9.87,4.47,54.32,10.07,2.01,1.86,1.79,0.54,96.43,6.87,72.86,7.31,4.1,2.08,15.7,7.27,7.35,40.84,28.4,56.88,9.05,25.44,68456,0.21,79.24,0.75,0.29,0.56,12.58,78.95,7.22,11.58,2.87,72.41,7.47,9.79,4.8,1
E07000069,41,7.21,1,2.18,29.11,58.8,12.09,19.22,53.2,9.93,2.01,2.44,0.94,0.2,98.16,8.19,69.3,7.51,2.31,1.66,15.18,7.52,7.68,43.87,25.62,57.95,9.27,24.08,86608,0.12,75.66,0.23,0.23,0.29,15.52,88.21,5.11,5.58,4.48,63.29,10.12,15.02,2.29,1
E07000070,38,7.36,0.79,1.4,29.8,60.39,9.8,4.64,58.15,9,2.83,2.06,1.52,0.58,96.73,6.06,73.93,7.44,3.1,2.03,15.19,8.43,7.42,42.54,27.36,55.5,9.75,27.82,157072,0.22,74.73,0.4,0.2,0.68,16.43,78.29,6.71,12.88,4.53,67.8,9.42,9.51,3.39,1
E07000071,36,6.76,0.9,1.66,29.41,61.63,8.96,4.73,54.85,8.65,2.85,2.34,1.69,0.51,96.18,7.18,71.33,7.3,2.86,2.04,14.53,9.34,8.19,39.19,28.3,51.87,10.98,29.85,155796,0.35,71.57,0.49,0.15,0.76,18.49,71.94,10.63,15.19,6.65,64.94,10.57,9.4,1.8,1
E07000072,39,7.47,0.97,1.69,28.79,60.12,11.1,3.57,52.3,12.49,1.69,2.6,2.82,0.82,95.1,7.41,71.75,6.68,3.49,1.67,15.8,8.09,8.71,39.4,29.07,54.54,9.77,27.08,120896,0.21,72.44,0.96,3.07,1.17,14.07,74.5,6.86,16.04,3.01,65.55,8.55,14.69,4.5,1
E07000073,35,6.12,0.96,1.84,31.2,59,9.79,25.79,59.59,6.46,2.27,3.36,2.53,1,94.89,8.11,68.57,6.12,2.24,1.55,12.11,9.81,11.14,35.53,29.53,50.26,12.26,29.84,78768,0.32,67.3,0.39,0.26,1.31,22.37,59.07,4.77,34.44,4.8,71.5,9.76,6.33,2.2,1
E07000074,40,7.83,0.89,1.73,30.4,59.85,9.75,1.66,53.16,12.46,1.79,2.18,0.6,0.18,98.61,7.14,71.69,8.27,3.3,1.95,17.46,8.47,7.2,44.92,25.23,58.78,10.35,23.18,59418,0.13,75.78,0.1,0.17,0.25,16.47,80.26,6.39,11.62,1.16,65.84,10.41,16.49,1.18,1
E07000075,40,7.48,0.88,1.86,29.79,59.3,10.91,4.63,54.78,9.88,2.15,2.08,0.74,0.22,98.31,7.2,71.13,8.13,2.6,1.82,15.04,7.56,7.04,44.88,24.85,59.65,9.49,22.63,78489,0.11,75.83,0.24,0.31,0.21,15.65,85.53,4.92,8.31,3.89,65.68,8.73,14.66,2.79,1
