lad,agemed_all,care_1to19hoursWeek,care_20to49hoursWeek,care_40PlushoursWeek,children_Kids,children_NoKids,children_NonDepKids,density_all,economic_employee,economic_self-employed,economic_student,economic_unemployed,ethnicity_asian,ethnicity_black,ethnicity_white,health_bad,health_good,hoursworked_Female1-15,hoursworked_Female49plus,hoursworked_Male1-15,hoursworked_Male49plus,household_Cohabiting,household_LoneParent,household_Married,household_OnePerson,marital_Married,marital_Seperated,marital_Single,population_all,religion_Buddhist,religion_Christian,religion_Hindu,religion_Jewish,religion_Muslim,religion_Noreligion,tenure_owned,tenure_rented_private,tenure_rented_social,travel_bus,travel_car_van,travel_foot,travel_home,travel_train_metro,welsh_SpeaksWelsh
E06000054,42,7.02,1.08,2.01,29.73,61.56,8.7,1.45,57.13,11.22,2.55,2.94,1.31,0.69,96.6,4.05,83.8,7.35,3.19,2.8,12.61,9.46,8.99,39.58,26.7,53.74,11.92,27.43,470981,0.34,64.05,0.28,0.08,0.44,26.55,67.5,15.43,14.72,2.68,69.62,13.01,7.36,2.77,1
E06000055,39,6.88,1.3,2.03,31.53,58.81,9.65,3.31,54.31,9.52,3.61,4.45,11.39,3.94,80.55,4.54,82.88,6.96,3.04,3.2,10.56,8.92,11.02,35.52,28.83,49.38,11.97,31.94,157479,0.32,59.28,1.54,0.11,5.47,23.64,65.72,15.84,16.07,4.22,69.28,10.58,5.58,4.9,1
E06000056,40,7.17,1.06,1.92,31.56,58.05,10.4,3.55,57.52,10.97,2.81,3.45,2.52,1.42,93.84,3.85,84.67,6.91,3.11,2.55,11.83,10.73,9.6,40.2,25.89,52.68,11.86,29.15,254381,0.31,62.2,0.66,0.2,0.76,28.44,72.55,12.08,13.39,2.01,74.27,8.15,6.01,6.65,1
E06000057,45,7.06,1.44,2.8,26.4,63.54,10.06,0.63,51.77,9.46,2.2,4.43,0.84,0.11,98.43,6.33,78.3,6.3,2.74,2.69,10.23,9.6,9.66,36.73,29.89,52.26,11.89,27.63,316028,0.18,68.56,0.11,0.05,0.32,23.93,65.84,13.29,18.65,5.25,71.89,11.52,6.26,1.79,1
E06000058,41,6.86,1.26,2.31,24.15,67.83,8.03,23.38,51.91,10.34,4.08,3.5,2.86,0.62,94.2,5.49,80.69,7.27,2.65,3.59,9.59,9.68,8.57,29.28,33.68,44.84,12.81,34.51,378888,0.5,59.68,0.49,0.49,1.17,29.33,64.36,22.27,11.54,6.84,67.03,11.54,5.64,1.89,1
E06000059,47,8.06,1.31,2.5,24,67.14,8.86,1.47,50.74,12.65,2.39,2.68,0.91,0.23,97.97,4.92,80.84,8.33,3.2,3.3,11.63,8.48,7.63,35.58,29.55,54.36,11.96,25.05,365153,0.31,65.09,0.14,0.12,0.32,25.45,71.73,13.69,12.27,2.51,69.96,13.14,8.23,1.37,1
E06000060,41,7.09,1.04,1.67,31.7,58.77,9.53,7.19,54.79,12.94,2.92,2.99,8.56,2.08,86.42,3.47,85.85,7.29,3.83,3.06,12.73,8.97,8.27,40.55,25.94,54.26,10.38,28.81,505283,0.44,60.52,1.24,0.3,5.1,23.98,72.16,12.89,12.69,2.77,69.55,8.71,8.33,7.55,1
E06000061,40,6.7,1.26,2.33,30.72,60.06,9.22,1.47,57.5,8.66,2.56,4.18,2.96,1.68,93.38,4.92,81.85,6.02,2.72,2.4,10.83,11.52,10.55,36.1,27.77,49.73,13.22,30.24,316851,0.25,59.32,1.25,0.07,0.81,30.78,68.12,14.11,15.74,2.95,77.11,9.89,4.77,1.75,1
E06000062,39,6.69,1.13,2.01,30.56,60.63,8.81,2.87,56.99,10,3.47,3.79,4.28,3.09,89.82,4.27,83.65,6.5,3.03,2.79,11.04,10.88,10.15,36.27,27.9,49.3,12.45,31.98,375101,0.37,60.33,1.08,0.12,2.54,27.96,67.57,15.14,14.85,4.56,74.71,9.57,5.8,2.01,1
E07000008,31,5.77,0.84,1.28,24.07,69.36,6.57,30.43,48.18,7.42,5.7,2.69,10.99,1.69,82.51,3.64,86.66,6.52,4.45,4.02,9.95,10.87,6.88,27.97,33.93,34.43,8.38,52.62,123867,1.27,44.82,1.66,0.7,3.95,37.81,47.46,26.24,23.6,6.5,34.45,15.8,6.49,5.13,1
E07000009,40,6.83,1.11,1.95,30.08,61.2,8.72,1.29,58.53,11.9,2.32,2.88,1.45,0.6,96.25,3.97,83.94,7.16,3.15,2.52,12.46,11.71,6.62,41.12,25.69,55.19,11.1,27.09,83818,0.34,62.33,0.18,0.15,0.44,28.11,68.52,13.22,14.28,1.64,74.37,6.89,7.21,5.54,1
E07000010,43,6.46,1.57,3.09,27.23,63.9,8.87,1.74,53.43,9.25,2.14,4.23,1.13,0.52,97.24,6.18,77.28,6.39,2.68,2.57,11.86,10.82,9.18,34.39,28.5,50.26,13.03,28.31,95262,0.19,66.39,0.2,0.11,0.41,25.03,70,15.61,12.44,2.07,75.2,9.83,4.95,1.57,1
E07000011,41,6.58,1.13,2.04,30.18,60.64,9.18,1.87,59.27,9.5,2.65,3.16,2.47,0.97,94.8,3.94,84.45,6.62,2.93,2.65,11.65,11.17,8.09,40.22,25.52,53.37,12,28.36,169508,0.31,60.81,0.37,0.11,1.1,29.51,71.25,14.09,12.89,2.5,73.17,9.3,6.12,3.86,1
E07000012,41,7.49,0.95,1.64,31.16,60.05,8.79,1.65,59.47,11.61,2.76,2.32,3.72,0.85,93.3,3.21,86.17,7.33,3.3,2.93,11.62,10.13,6.82,43.16,24.64,56.22,9.95,27.74,148755,0.47,58.8,0.75,0.24,0.98,30.08,70.26,11.96,14.25,4.36,67.87,6.63,7.8,3.82,1
E07000026,45,6.88,1.49,2.81,25.9,63.84,10.26,0.78,52.87,10.29,2.14,3.6,0.49,0.08,98.92,6.25,79.01,6.66,2.85,2.53,9.89,8.83,9.32,36.3,31.1,52.15,11.12,27.97,96422,0.19,75.41,0.04,0.02,0.2,17.3,69,9.78,19.1,3.83,71.23,14.08,6.98,0.91,1
E07000027,42,6.62,1.89,3.42,26.97,63.14,9.89,8.86,53.21,6.17,2.32,4.63,0.92,0.1,98.34,8.37,75.85,7.21,1.49,2.67,5.8,9.74,10.99,32.17,34.56,46.9,13.31,31.4,69087,0.22,70.68,0.15,0.02,0.25,22.08,73.46,14.23,11.06,5.19,63.37,17.8,2.68,1.79,1
E07000028,42,6.73,1.32,2.47,25.54,64.74,9.72,1.03,55.9,9.19,3.26,3.58,1.16,0.14,98.1,5.96,80.06,6.8,2.51,2.84,10.67,9.7,9.86,32.9,33.97,47.46,12.19,32.19,107524,0.26,69.1,0.22,0.02,0.42,22.9,68.26,14.3,15.3,6.95,66.65,16.4,5.26,0.66,1
E07000029,44,6.65,1.67,2.98,26.58,62.53,10.89,0.96,54.09,6.97,1.74,4.24,0.89,0.12,98.42,6.83,78.28,6.18,2.06,2.12,7.21,9.44,9.39,36.62,30.48,51.21,11.11,29.71,70603,0.21,78.87,0.11,0.02,0.32,14.37,70.97,8.73,18.56,4.74,75.5,10.34,4.07,1.67,1
E07000030,46,8.01,1.18,2.16,24.2,66.55,9.25,0.25,51.22,17.26,2.75,2.12,0.56,0.04,98.93,4.47,81.84,8.03,4.07,2.92,16.37,8.54,7.16,37.82,30.2,54.59,10.3,26.87,52564,0.25,70.7,0.08,0.06,0.22,20.7,70.56,15.99,10.07,2.14,65.65,16.51,12.17,0.89,1
E07000031,48,8.28,1.26,2.26,22.19,69.82,7.99,0.68,51.27,14.64,2.5,2.01,0.76,0.18,98.36,4.53,81.85,8.01,4,3.48,11.02,8.57,6.64,35.3,32.42,54.09,11,26.13,103658,0.45,68.05,0.05,0.1,0.17,23.07,72.97,14.25,10.42,1.85,64.49,18.09,9.59,1.53,1
E07000032,43,7.78,1.46,2.71,27.48,62.3,10.22,4.61,54.77,9.04,2.2,3.87,0.76,0.21,98.13,6.01,79,6.95,2.6,2.33,10.46,11.66,9.15,37.05,27.87,50.99,12.37,28.84,122309,0.21,61.18,0.13,0.06,0.15,30.32,74.1,11.79,12.33,4.06,76.78,9.67,5.09,1.29,1
E07000033,42,7.18,1.96,3.55,28.29,61.48,10.22,4.73,52.78,7.24,2.24,4.67,0.81,0.35,98.14,8.63,74.28,6.26,2.41,2.29,10.02,11.98,10.19,35.1,29.03,49.23,12.61,29.88,75866,0.15,65.18,0.11,0.04,0.19,27.03,66.96,13.04,18.19,4.75,79.2,8.7,3.93,0.92,1
E07000034,42,7.6,1.73,3.24,26.61,64.15,9.24,15.72,53.48,7.43,2.37,4.66,1.53,0.75,96.52,7.62,76.02,6.38,2.19,2.73,9.01,11.21,10.45,32.19,32.93,47.13,13.43,31.55,103788,0.21,63.76,0.25,0.03,0.67,27.21,63.14,12.42,23.15,8.01,72.68,11.05,3.53,1.6,1
E07000035,47,9.24,1.25,2.17,24.92,65.72,9.35,0.9,50.83,14.58,2.2,2.68,0.56,0.12,98.6,4.54,81.8,8.66,3.66,3.24,14.68,8.9,7.43,38.71,28.95,55.15,11.07,25.37,71116,0.23,68.72,0.05,0.08,0.2,23.17,72.43,12.56,12.15,2.25,70.77,12.37,10.58,1.44,1
E07000036,41,7.26,1.35,2.6,28.27,61.42,10.3,10.22,56.55,7.98,2.41,4.53,1.23,0.48,97.04,5.62,79.42,6.56,2.29,2.44,8.7,12.11,10.59,34.65,29.09,48.52,12.7,31.24,112081,0.19,57.8,0.37,0.04,0.23,33.9,72.48,12.87,13.01,7.01,72.6,9.52,3.98,1.57,1
