lad,agemed_all,care_1to19hoursWeek,care_20to49hoursWeek,care_40PlushoursWeek,children_Kids,children_NoKids,children_NonDepKids,density_all,economic_employee,economic_self-employed,economic_student,economic_unemployed,ethnicity_asian,ethnicity_black,ethnicity_white,health_bad,health_good,hoursworked_Female1-15,hoursworked_Female49plus,hoursworked_Male1-15,hoursworked_Male49plus,household_Cohabiting,household_LoneParent,household_Married,household_OnePerson,marital_Married,marital_Seperated,marital_Single,population_all,religion_Buddhist,religion_Christian,religion_Hindu,religion_Jewish,religion_Muslim,religion_Noreligion,tenure_owned,tenure_rented_private,tenure_rented_social,travel_bus,travel_car_van,travel_foot,travel_home,travel_train_metro,welsh_SpeaksWelsh
E06000001,40,5.79,1.69,3.31,29.9,59.85,10.25,9.8,48.99,5.7,2.67,7.77,1.42,0.18,97.69,8.14,75.99,6.12,1.93,2.47,8.45,10.41,13.34,31.11,33.12,44.9,12.34,34.4,92028,0.17,69.92,0.18,0.01,0.75,22.28,59.84,14.77,23.53,6.86,71.72,11.95,2.77,1.36,1
E06000002,37,5.43,1.66,3.14,31.17,57.52,11.31,25.69,46.11,5.14,4.39,7.59,7.78,1.25,88.18,7.62,78.14,7.03,1.69,3.45,7.69,9.82,14.92,29.36,30.96,41.55,11.53,39.44,138412,0.27,63.23,0.43,0.03,7.05,22.25,57.21,16.62,23.87,9.12,68.3,12.95,2.39,1.4,1
E06000003,43,6.66,1.81,3.39,28.2,60.93,10.87,5.52,49.1,5.91,2.46,6.59,0.64,0.09,98.54,7.84,76.29,7.07,1.99,2.7,8.95,9.94,12.29,32.8,31.43,47.59,12.1,31.9,135177,0.14,70.36,0.05,0.02,0.44,22.23,66.61,12.47,19.41,5.98,74.48,10.17,3.09,2.19,1
E06000004,39,6.1,1.53,2.77,31.66,57.45,10.89,9.4,53.32,6.36,3.02,5.74,3.46,0.59,94.62,6.33,79.9,6.18,2.04,2.61,8.74,10.98,12.32,35.33,27.77,47.7,11.96,33.19,191610,0.2,68.22,0.35,0.05,2.16,22.39,68.5,13.12,17.21,5.87,76.42,8.63,3.27,1.46,1
E06000005,41,6.5,1.35,2.61,28.81,62.11,9.09,5.35,54.66,7.3,2.55,5.22,2.09,0.34,96.24,5.88,79.8,5.78,2.45,2.57,8.56,10.28,12,32.35,32.36,46.98,13.56,31.73,105564,0.29,67.37,0.3,0.04,0.92,24.08,64.9,18.24,15.49,7,69.23,13.52,4.12,1.83,1
E06000006,39,6.37,1.94,3.63,31.25,56.42,12.33,15.9,54.28,5.85,2.72,5.56,0.75,0.21,97.85,7.85,78.23,5.33,2.02,2.43,7.98,10.64,14.47,33.44,29.7,45.13,12.25,35.37,125746,0.17,75,0.15,0.03,0.21,18.72,63.39,9.78,25.21,6.67,75.34,9.44,2.68,1.99,1
E06000007,40,6.85,1.4,2.54,30.86,58.94,10.19,11.19,57.31,7.77,3.03,3.99,2.43,0.34,95.93,5.35,82.56,5.87,2.51,2.67,8.99,10.46,10.72,37.04,28.82,49.8,11.78,31.45,202228,0.23,71.41,0.55,0.07,1.04,20.42,71.55,11.22,15.64,5,76.37,7.56,4.61,2.28,1
E06000008,35,5.95,1.82,2.91,34.97,55.02,10.01,10.76,48.01,7.66,3.19,5.34,28.13,0.63,69.16,7.3,78.65,5.25,2.02,3.23,6.42,9.27,12.45,34.24,30.37,47.81,12,33.55,147489,0.21,52.61,0.39,0.04,27,13.81,64.15,15.68,18.12,5.45,72.07,13.01,3.75,1.73,1
E06000009,42,6.08,1.82,3.58,26.26,64.59,9.15,40.73,47.26,9.59,3.06,6.1,1.61,0.24,96.67,9.48,73.64,5.03,2.84,3.22,7.76,10.23,12.85,24.42,37.98,39.47,16.3,35.3,142065,0.32,67.17,0.24,0.18,0.75,24.51,61.6,26.05,10.87,8.55,64.14,14.96,5.38,0.93,1
E06000010,36,4.91,1.41,2.89,28.43,61.99,9.57,35.89,50.4,5.15,3.64,8.02,2.52,1.17,94.12,7.09,78.05,6.09,1.63,2.87,7.54,12.5,12.9,26.3,35.34,37.75,13.26,42.14,256406,0.3,54.89,0.17,0.07,2.12,34.84,49.54,20.41,28.1,13.12,61.1,11.97,1.91,0.66,1
E06000011,45,7.29,1.32,2.57,26.46,64.04,9.5,1.39,52.37,10.11,2.69,3.58,0.89,0.18,98.09,5.39,80.16,7.38,3.02,2.94,11.65,9.83,8.15,38.38,27.46,54.4,11.47,26.09,334179,0.21,68.03,0.18,0.1,0.39,23.43,75.3,13.74,9.11,2.84,72.96,10.73,6.24,1.51,1
E06000012,41,5.71,1.33,2.98,28.52,61.79,9.68,8.32,52.77,6.46,2.7,6.46,1.33,0.26,97.37,6.05,79.05,6.92,1.96,2.4,10.82,11.31,12.06,30.87,31.26,45.31,13.81,33.09,159616,0.22,60.67,0.24,0.04,0.83,30.37,66.09,18.11,14.48,6.1,70.87,11.72,2.7,0.54,1
E06000013,42,6.62,1.42,2.8,28.85,61.47,9.68,1.98,54.81,7.25,2.36,4.8,2.72,0.3,96,5.77,79.5,6.67,2.31,2.38,10.89,11.38,9.48,35.76,27.47,50.44,12.97,28.94,167446,0.23,66.02,0.27,0.03,1.81,23.99,69.52,13.41,15.41,2.43,77.04,9.99,4.25,0.52,1
E06000014,38,6.41,0.98,1.81,25.49,66.51,8,7.28,53.09,8.23,5.69,3.06,3.4,0.6,94.28,4.13,83.87,7.84,2.74,3.8,8.41,10.98,8.72,32.36,30.19,44.26,10.47,38.62,198051,0.51,59.51,0.5,0.1,1.05,30.12,66.1,17.93,13.98,7.23,53.13,18.48,5.09,2.68,1
E06000015,36,6.3,1.44,2.54,30.84,60.06,9.09,31.88,53.15,6.5,4.15,5.19,12.5,2.94,80.3,5.89,79.96,6.54,2.17,3.2,7.78,10.41,11.6,31.28,30.88,44.89,11.65,36.46,248752,0.33,52.71,0.88,0.04,7.64,27.61,61.37,16.81,19.8,9.01,67.75,12.77,3.29,1.2,1
E06000016,31,5.31,1.68,2.4,33.4,56.32,10.28,44.99,47.11,5.79,5.49,6.18,37.13,6.24,50.52,6.03,80.54,6.6,1.95,4.03,6.24,8.51,12.37,30.26,30.01,42.55,9.86,41.5,329839,0.37,32.4,15.19,0.09,18.63,22.82,49.68,22.74,25.4,13.57,59.82,16.96,2.91,1.35,1
E06000017,43,7.42,0.95,1.8,26.47,65.18,8.35,0.98,52.35,12.38,2.24,2.38,0.98,0.67,97.14,3.45,84.42,7.09,4.16,3.69,13.64,8.51,7.37,39.94,27.4,54.45,11.28,26.7,37369,0.27,68.19,0.2,0.14,0.35,23.36,70.36,15.55,11.23,1.11,66.41,16.45,9.15,2.01,1
E06000018,30,4.98,1.41,2.43,27.35,64.78,7.87,40.97,43.03,5.6,6.33,6.37,13.1,7.26,71.54,6.45,79.94,7.05,2.2,4.33,7.03,10.45,13.05,22.31,36.17,31.87,11.06,51.32,305680,0.67,44.23,1.47,0.35,8.81,34.99,45.09,23.07,29.72,20.11,51.54,16.19,3.29,3.18,1
E06000019,44,7.63,1.29,2.35,26.45,64.11,9.44,0.84,51.29,14.35,2.38,3.26,0.78,0.18,98.2,5.23,80.86,7.32,3.4,2.91,13.13,9.49,8.58,35.71,28.78,52,11.79,28.31,183477,0.31,67.8,0.12,0.07,0.2,22.76,67.69,15.51,13.92,1.74,67.97,14.57,9.35,0.85,1
E06000020,38,6.19,1.59,2.99,33.02,56.63,10.34,5.74,54.87,7.02,2.83,4.75,4.2,1.07,92.66,6.24,80.19,5.8,2.44,2.67,9.1,11.94,11.73,36.35,25.21,47.8,12.96,32.86,166641,0.24,61.74,0.52,0.05,1.81,27.36,63.68,14.98,19.68,4.02,78.02,8.01,4.01,1.47,1
E06000021,38,6.11,1.75,3.14,29.06,60.82,10.11,26.65,50.23,6.26,3.7,5.31,7.41,1.5,88.64,8.04,76.63,5.66,1.92,2.91,7.56,11.09,12.14,30.46,32.87,43.8,12.62,36.04,249008,0.31,60.89,0.56,0.03,6.02,25.19,59.43,14.35,24.17,7.96,74.27,10.44,2.49,0.74,1
E06000022,40,7.04,1.13,1.82,26,65.44,8.57,5.09,49.93,10.96,5.14,2.72,2.6,0.75,94.58,4.22,83.93,8.9,3.13,3.87,9.89,9.25,8.53,33.41,30.65,45.94,10.05,37.28,176016,0.53,56.51,0.3,0.14,0.67,32.74,66.75,16.93,14.44,6.45,60.03,17.18,7.67,3.74,1
E06000023,33,6,1.23,2.14,26.52,66.01,7.47,39.07,53.13,8.43,4.79,4.3,5.52,6.01,83.97,5.48,82.27,6.73,2.84,3.43,7.94,11.8,11.24,25.95,33.71,36.62,10.65,46.97,428234,0.6,46.76,0.63,0.18,5.14,37.41,54.01,23.55,20.29,9.63,54.75,19.27,4.56,2.11,1
E06000024,44,7.49,1.27,2.25,27.1,64.63,8.27,5.42,54.15,10.61,2.83,2.99,1.2,0.31,97.29,5.26,81.08,7.64,2.9,3.14,10.7,9.11,8.77,35.56,30.73,52.5,12.63,26.83,202566,0.27,60.99,0.17,0.08,0.43,30.05,72.95,16.17,9.18,3.01,73.74,9.48,6.58,2.5,1
E06000025,40,7.34,1.13,2.05,30.62,59.5,9.88,5.29,59.2,8.91,3.51,2.78,2.45,0.84,94.98,4.19,84.03,7.57,2.24,2.75,9.29,9.98,9.36,38.68,26.55,52.07,11.08,30.4,262767,0.27,59.56,0.64,0.06,0.83,30.68,74.94,13.58,9.89,4.94,74.86,8.17,4.75,1.34,1
E06000026,38,6.09,1.58,2.95,26.99,64.02,8.99,32.11,50.88,6.84,4.64,4.24,1.52,0.65,96.15,6.51,79.54,6.97,2.27,3.35,8.68,11.07,10.57,31.02,31.4,43.13,12.98,37.14,256384,0.34,58.08,0.22,0.07,0.81,32.88,58.69,20.15,19.3,11.21,64.12,14.73,3.07,0.64,1
E06000027,46,6.98,1.75,3.58,24.43,67.35,8.22,20.83,47.15,11.43,2.61,4.55,1.03,0.19,97.51,7.55,76.14,6.76,2.92,3.27,8.85,9.11,10.39,29.01,34.22,46.89,14.83,29.11,130959,0.3,63.32,0.1,0.08,0.4,27.52,66.81,23.21,8.07,4.47,67.97,16.05,6.14,1.02,1
E06000030,38,5.94,1.28,2.09,30.6,60.9,8.5,9.09,61.04,7.83,2.86,4.23,6.39,1.37,89.84,4.58,83.44,5.76,2.22,2.5,8.44,11.65,9.39,35.35,29.59,48.9,12.69,32.42,209156,0.58,57.51,1.24,0.07,1.69,30.97,65.53,16.04,16.28,8.54,69.67,10.1,3.98,1.4,1
E06000031,35,5.84,1.42,2.36,32.76,58.66,8.58,5.35,56.95,7.57,2.71,5.06,11.7,2.27,82.53,5.17,81.56,5.38,2.4,2.69,8.77,10.63,11.21,32.9,28.71,46.55,13.56,33.6,183631,0.25,56.75,1.26,0.08,9.39,24.61,59.27,19.14,19.5,7.46,68.99,9.24,3.92,2.64,1
E06000032,32,5.4,1.4,2.19,36.14,53.92,9.94,46.87,49.36,8.4,5.55,5.74,30,9.8,54.66,4.93,82.63,5.94,2.16,3.56,7.8,8.22,12.01,33.18,27.35,46.72,10.54,37.02,203201,0.32,47.38,3.32,0.16,24.6,16.53,60.16,22.63,15.77,7.49,66.2,13.27,2.98,6.26,1
E06000033,40,6.57,1.23,2.38,28.51,62.19,9.3,41.59,52.73,10.24,2.71,4.97,3.71,2.1,91.57,5.74,80.2,7.04,3.07,3.05,10.62,11.25,10.51,30.14,32.65,44.02,13.91,34.41,173658,0.46,55.72,0.67,1.24,1.91,31.6,65.17,22.01,11.51,5.34,55.29,13.92,4.6,16.13,1
E06000034,36,5.46,1.38,2.42,34.83,54.1,11.07,9.65,56.95,8.9,2.74,5.42,3.76,7.81,85.87,4.77,82.94,6.36,2.36,2.26,10.67,12.07,11.15,36.4,26.25,47.73,12.21,33.92,157705,0.39,63.34,0.75,0.14,2.01,26.04,66.2,14.07,18.45,3.74,66.54,5.93,2.92,17.29,1
E06000035,37,5.68,1.27,2.53,32.32,56.91,10.77,13.74,54.1,8.69,3.38,4.88,5.16,2.52,89.64,5.03,81.97,6.93,2.56,2.75,11.07,11.19,11.7,35.21,27.71,46.29,12.71,34.63,263925,0.36,57.83,1.04,0.08,1.96,29.93,67.65,17.09,13.18,4.66,69.6,9.84,3.64,9.1,1
E06000036,37,5.94,0.97,1.64,32.56,58.22,9.22,10.35,62.36,9.83,2.81,3.38,5,1.93,90.59,3.25,86.69,6.02,3.76,2.49,12.11,10.86,9.74,38.75,27.7,50.17,12.16,32.25,113205,0.73,60.53,1.61,0.16,1.13,28.43,68.48,12.5,16.74,2,74.72,8.28,5.92,5.03,1
E06000037,40,6.7,0.95,1.63,30.88,59.68,9.44,2.18,59.48,11.33,2.48,2.93,2.48,0.89,94.82,3.16,86.14,6.95,3.79,2.65,12.27,10.09,8.18,41.62,25.86,54.23,11.15,28.64,153822,0.32,63.64,0.72,0.14,0.79,26.68,69.67,13.72,13.84,3.64,70.31,9.4,7.62,5.05,1
E06000038,33,5.19,1.05,1.67,30.07,62.09,7.84,38.54,56.45,7.91,4.99,4.56,13.59,6.72,74.75,3.75,85.47,6.32,3.18,3.21,8.54,10.69,10.78,30.55,30.6,41.77,10.06,43.13,155698,1.2,50,3.64,0.23,7.07,29.5,54.84,26.08,16.29,11.03,51.61,17.11,4.66,9.92,1
E06000039,32,5.03,1.41,1.85,39.15,50.92,9.93,43.09,55.24,8.89,3.94,5.42,39.73,8.64,45.69,4.49,83.89,4.99,2.53,3.13,8.22,7.47,12.79,33.95,28.46,48.62,11.24,34.84,140205,0.53,41.17,6.16,0.06,23.29,12.14,52.7,24.32,20.64,7.51,67.22,9.76,3.06,8.1,1
E06000040,40,6.64,0.99,1.52,30.32,60.34,9.34,7.36,56.66,12.38,2.29,3.16,9.58,1.19,86.13,3.43,86.73,6.36,4.7,2.71,13.98,9.09,8,38.72,28.37,52.74,10.51,30.11,144560,0.54,62.29,1.84,0.33,3.93,21.69,68,16.16,13.28,1.38,66.36,9.73,8.75,9.51,1
E06000041,40,6.6,0.9,1.5,33.18,56.98,9.84,8.63,59.27,10.76,2.97,2.63,7.41,1.36,88.43,2.75,87.81,7.23,3.73,2.94,11.86,8.85,7.23,45.48,23.34,57.62,9.26,27.44,154380,0.37,59.53,2.06,0.33,2.82,26,79.73,11.2,7.02,3.31,71.12,6.43,8.01,7.33,1
E06000042,35,5.63,1.2,1.92,34.96,55.87,9.17,8.06,59.35,8.67,3.14,4.76,9.16,6.88,80.01,4.13,85.04,5.6,3.03,2.62,9.85,11.51,11.59,37.05,25.91,48.23,13.04,33.4,248821,0.5,52.79,2.78,0.17,4.79,31.32,57.73,17.31,18.02,5.63,71.71,7.7,5.23,4.59,1
E06000043,35,6,1.04,1.73,24.53,69.13,6.34,33.07,49.1,12.92,5.84,3.71,4.13,1.53,89.08,5.28,82.91,7.08,3.53,3.94,8.57,12.69,9.86,23.31,36.44,32.83,11.58,50.14,273369,1,42.9,0.66,0.98,2.23,42.42,53.31,29.59,14.96,13.6,40.71,20.56,7.59,10.68,1
E06000044,34,5.26,1.09,2,28.64,63.34,8.03,50.74,50.99,7.52,6.1,4.25,6.08,1.84,88.36,5.05,82.53,7.11,2.65,3.75,8.99,11.06,11.79,27.21,32.14,37.16,13.18,43.54,205056,0.57,52.18,0.63,0.11,3.49,35.03,54.87,24.68,18.26,7.45,58.01,16.9,3.39,3.75,1
E06000045,32,5.35,1.22,2.03,26.45,65.67,7.89,47.48,50.46,7.19,6.47,4.23,8.4,2.14,85.92,5.1,82.54,7.34,2.59,4.2,8.9,10.97,10.23,27.07,33.83,37.2,11.75,45.26,236882,0.56,51.51,1.05,0.11,4.18,33.51,49.74,24.88,23.27,9.26,61.02,16.46,3.32,2.97,1
E06000046,46,7.38,1.52,2.97,24.97,66.72,8.31,3.64,46.2,11.58,2.2,4.4,1.09,0.22,97.31,6.48,77.34,7.43,3,3.48,7.94,9.33,10.12,30.82,32.67,48.45,14.11,28.27,138265,0.33,60.51,0.23,0.09,0.38,29.62,70.09,17.42,10.68,4.35,62.51,17.59,6.62,1.58,1
E06000047,42,6.69,1.72,3.29,27.3,62.13,10.57,2.31,50.68,6.59,2.67,4.43,0.95,0.14,98.15,8.16,75.78,5.6,2.53,2.65,8.56,9.85,11.2,34.07,31.28,47.4,12.21,32.45,513242,0.2,72.04,0.12,0.04,0.38,20.9,65.84,12.57,20.11,6.13,75.44,10.44,4.23,1,1
E06000049,43,7.44,1.2,2.17,27.89,62.44,9.68,3.17,53.81,10.72,2.82,3.23,1.64,0.38,96.71,4.91,82.31,6.94,3.21,3,11.01,9.52,8.95,37.25,29.68,52.27,11.54,28.46,370127,0.24,68.88,0.36,0.16,0.66,22.69,74.49,12.5,11.38,1.84,73.58,9.9,7.43,3.05,1
E06000050,42,7.26,1.43,2.57,27.63,61.95,10.43,3.6,54.22,8.99,3.34,3.68,1.24,0.28,97.4,5.54,81.53,6.98,2.84,2.95,9.83,9.61,9.82,36.07,29.58,50.06,11.35,30.93,329608,0.24,70.12,0.2,0.08,0.51,22.04,70.77,12.54,14.71,3.48,73.94,9.98,5.9,2.2,1
E06000051,44,7.46,1.32,2.41,26.45,63.63,9.92,0.96,52.64,12.74,2.34,3.28,1.01,0.19,97.96,5.04,81.41,7.31,3.22,2.86,12.5,10.01,8.47,36.4,28.95,51.53,11.55,29.05,306129,0.26,68.69,0.12,0.04,0.32,22.78,69.16,14.98,13.46,1.97,70.52,13.25,8.31,1.32,1
E06000052,45,7.34,1.56,2.98,25.5,65.57,8.93,1.5,47.05,13.63,2.78,3.26,0.65,0.14,98.23,6.3,78.82,7.57,3.35,3.24,10.4,10.05,8.79,33.93,30.07,50.42,12.99,28.37,532273,0.32,59.81,0.1,0.07,0.16,30.31,68.81,16.76,12,2.43,69.77,13.95,8.66,1.1,1
E06000053,46,7.49,0.91,1.59,19.82,74.22,5.97,1.35,53.82,26.7,0.43,1.11,0.09,0.09,98.82,3,85.75,5.11,6.41,1.98,12.2,10.21,3.44,34.28,33.97,53.53,11.2,27.09,2203,0.41,55.29,0.05,0.18,0.14,33.68,41.66,29.73,18.1,0.61,24.18,38.52,13.35,0.15,1
